Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
104,Stromile Swift\swiftst01,PF,24,MEM,77,10,19.8,3.5,7.4,.469,0.0,0.1,.250,3.5,7.4,.471,.470,2.5,3.4,.725,1.8,3.1,4.9,0.5,0.7,1.5,1.1,2.4,9.4
105,Mike James\jamesmi01,PG,28,TOT,81,55,27.1,3.4,8.1,.414,1.3,3.5,.377,2.0,4.6,.441,.495,1.3,1.6,.811,0.3,2.5,2.9,4.2,1.2,0.0,1.5,1.9,9.3
106,Anfernee Hardaway\hardaan01,SG,32,TOT,76,14,27.6,3.7,8.9,.411,0.4,1.0,.380,3.3,7.9,.415,.433,1.5,1.8,.804,0.9,2.9,3.8,2.3,0.9,0.3,1.4,1.9,9.2
107,Aaron McKie\mckieaa01,SF,31,PHI,75,41,28.2,3.5,7.7,.459,1.0,2.3,.436,2.5,5.4,.469,.524,1.1,1.5,.757,0.6,2.8,3.4,2.6,1.1,0.3,1.4,1.9,9.2
108,Hedo Türkoğlu\turkohe01,SF,24,SAS,80,44,25.9,3.3,8.1,.406,1.3,3.0,.419,2.0,5.1,.399,.484,1.4,2.0,.708,0.7,3.8,4.5,1.9,1.0,0.4,1.2,2.1,9.2
109,Jiří Welsch\welscji01,SG,24,BOS,81,68,26.9,3.2,7.6,.428,0.9,2.2,.381,2.4,5.3,.448,.484,1.9,2.5,.743,0.7,2.9,3.7,2.3,1.2,0.1,1.6,2.2,9.2
110,Antonio Davis\davisan01,C,35,TOT,80,79,32.1,3.3,8.3,.403,0.0,0.0,,3.3,8.3,.403,.403,2.2,2.9,.765,2.6,5.8,8.4,1.7,0.5,0.8,1.4,2.6,8.9
111,Etan Thomas\thomaet01,C,25,WAS,79,15,24.1,3.3,6.7,.489,0.0,0.0,,3.3,6.7,.489,.489,2.4,3.7,.647,2.3,4.4,6.7,0.9,0.5,1.6,1.4,2.8,8.9
112,Brian Grant\grantbr01,C,31,MIA,76,76,30.3,3.8,8.1,.471,0.0,0.0,.000,3.8,8.1,.472,.471,1.1,1.4,.782,2.3,4.6,6.9,0.9,0.7,0.5,1.1,3.3,8.7
113,Rasho Nesterović\nestera01,C,27,SAS,82,82,28.7,4.0,8.5,.469,0.0,0.0,,4.0,8.5,.469,.469,0.7,1.4,.474,3.1,4.6,7.7,1.4,0.6,2.0,1.3,3.0,8.7
114,Marcus Camby\cambyma01,C,29,DEN,72,72,30.0,3.6,7.6,.477,0.0,0.0,.000,3.6,7.6,.479,.477,1.4,1.9,.721,2.9,7.2,10.1,1.8,1.2,2.6,1.4,3.3,8.6
115,Shane Battier\battish01,SF,25,MEM,79,1,24.6,3.1,6.9,.446,0.8,2.4,.349,2.2,4.5,.496,.506,1.5,2.1,.732,1.3,2.5,3.8,1.3,1.3,0.7,0.7,2.4,8.5
116,Toni Kukoč\kukocto01,PF,35,MIL,73,0,20.8,2.9,6.9,.417,0.7,2.3,.292,2.2,4.6,.479,.465,2.0,2.7,.729,0.8,2.9,3.7,2.7,0.8,0.3,1.5,1.5,8.4
117,Morris Peterson\petermo01,SF,26,TOR,82,29,26.2,2.9,7.2,.405,1.5,4.1,.371,1.4,3.0,.453,.513,0.9,1.1,.809,0.4,2.8,3.2,1.4,1.1,0.2,0.8,2.5,8.3
118,Samuel Dalembert\dalemsa01,C,22,PHI,82,53,26.8,3.3,6.1,.541,0.0,0.0,.000,3.3,6.1,.542,.541,1.4,2.1,.644,2.4,5.3,7.6,0.3,0.5,2.3,1.0,3.3,8.0
119,Antonio Daniels\daniean01,PG,28,SEA,71,32,21.3,2.6,5.6,.470,0.6,1.6,.362,2.0,4.0,.514,.523,2.2,2.6,.842,0.3,1.7,2.0,4.2,0.6,0.1,0.9,0.9,8.0
120,Shandon Anderson\andersh01,SG,30,NYK,80,37,24.7,3.0,7.1,.422,0.5,1.6,.281,2.5,5.5,.463,.454,1.5,2.0,.764,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9
121,Leandro Barbosa\barbole01,PG,21,PHO,70,46,21.4,3.0,6.7,.447,1.2,3.0,.395,1.8,3.7,.488,.535,0.7,0.9,.770,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,7.9
122,Walter McCarty\mccarwa01,PF,29,BOS,77,23,24.7,2.6,6.8,.388,1.8,4.8,.374,0.9,2.0,.420,.519,0.8,1.1,.756,0.4,2.7,3.1,1.6,0.9,0.3,1.2,2.3,7.9
123,Theo Ratliff\ratlith01,C,30,TOT,85,83,31.3,3.1,6.5,.485,0.0,0.0,,3.1,6.5,.485,.485,1.6,2.6,.645,2.3,4.9,7.2,0.8,0.6,3.6,1.4,3.5,7.9
124,Calbert Cheaney\cheanca01,SF,32,GSW,79,7,26.2,3.5,7.3,.481,0.0,0.1,.000,3.5,7.2,.489,.481,0.6,1.0,.610,1.0,2.3,3.3,1.7,0.8,0.2,1.1,2.3,7.6
125,Bob Sura\surabo01,SG,30,TOT,80,18,20.8,2.5,6.1,.416,0.3,1.0,.266,2.3,5.1,.446,.438,2.1,2.8,.757,1.3,2.8,4.1,2.9,0.8,0.2,1.3,2.0,7.5
126,Rodney White\whitero02,SF,23,DEN,72,0,13.7,3.0,6.5,.459,0.5,1.2,.379,2.5,5.3,.478,.495,1.1,1.4,.750,0.6,1.7,2.3,0.8,0.4,0.3,1.1,1.5,7.5
127,Devean George\georgde01,SF,26,LAL,82,48,23.8,2.8,7.0,.408,0.8,2.3,.349,2.0,4.7,.436,.465,0.9,1.2,.760,1.1,3.0,4.0,1.4,1.0,0.5,1.1,2.3,7.4
128,Nazr Mohammed\mohamna01,C,26,TOT,80,24,20.1,3.1,5.9,.521,0.0,0.0,,3.1,5.9,.521,.521,1.3,2.1,.592,2.2,3.7,5.9,0.5,0.7,0.7,1.2,2.4,7.4
129,Udonis Haslem\hasleud01,PF,23,MIA,75,24,23.9,2.7,6.0,.459,0.0,0.0,.000,2.7,5.9,.462,.459,1.9,2.4,.765,2.5,3.8,6.3,0.7,0.4,0.3,1.0,2.6,7.3
130,Derek Fisher\fishede01,SG,29,LAL,82,3,21.6,2.5,7.0,.352,0.6,2.2,.291,1.8,4.8,.380,.398,1.5,1.9,.797,0.4,1.5,1.9,2.3,1.3,0.0,1.0,1.4,7.1
131,Brendan Haywood\haywobr01,C,24,WAS,77,59,19.3,2.6,5.0,.515,0.0,0.0,.000,2.6,5.0,.517,.515,1.8,3.0,.585,2.4,2.6,5.0,0.6,0.4,1.3,1.0,2.0,7.0
